id,language_code,description,label
BiaqeVXYF0I,en,Bharat ni bhugol by yuva upnishad new Colour addition Mrp 540,not_relevant
BDXJxcdXYw0,en,SUBSCRIBE_GPSCLEARNING_NOW,not_relevant
deSb38xtd3I,en,SUBSCRIBE_GPSCLEARNING_NOW ગુજરાત,not_relevant
_KtDuPp8PZo,gu,surat Surat waterlogging કીમ નદીમાં પૂર આવતાં પાણી,highly_relevant
hL23LYoGgYw,en,Heavy rains in Surat have inundated many areas while heavy rains in the upper reaches have caused a flood like situation due to,highly_relevant
XQbaevnBLbY,en,Surat Heavy Rainfall LIVE Water overflows in artificial pond built for Ganesh immersion people in Tapi riverbank area alerted,relevant
HgMygexsvnk,en,gujaratrains,highly_relevant
C-eC0sHcbk4,en,Surat Possibility of floods increase in surface area of Tapi see Gujarati News For more videos,highly_relevant
I6FLwYtyj9Y,en,Surat Rain Update News Tapi river in Surat on two banks The danger level of Ukai Dam is 345 feet Currently the rule level is,relevant
yCSwG03gPWk,gu,creekflood Gujarat Rain,highly_relevant
ifB6SlkTYrU,gu,Tapi નદી બની ગાંડીતૂર વરસાદથી ચારેય કોર પાણી જ પાણી Surat જિલ્લા અને,highly_relevant
lgE3vOP___I,gu,surat સુરતના વરાછા વિસ્તારના આ દૃશ્યો છે અહીની વિઠ્ઠલનગર,highly_relevant
Cu7gF6TKsPo,gu,SURAT Tapi River ઉકાઈ ડેમમાંથી પાણી છોડાતા નદી તોફાની કાંઠા વિસ્તારમાં,not_relevant
wAL40qnDOwQ,gu,Surat news સુરતના લોકો માટે રાહતના સમાચાર ઉપરવાસમાં વરસાદનું જોર ઘટતા,highly_relevant
HiyusFfluYE,en,Heavy rain in Surat city Water filled many places due to heavy rain Heavy rain caused waterlogging on both banks of Tapi river,relevant
o3WJNRE_8Tc,en,Surat Many areas submerged due to the fury of Tapi river Water has returned to the artificial pond made for Ganesh immersion,relevant
GBMW4WxqzDQ,gu,surat Tv9 ગુજરાતીની Youtube ચેનલને,highly_relevant
8FSECmtixFo,gu,સુરત શહેરના લિંબાયત વિસ્તારમાં પૂરના પાણી ભરાયાના કેટલાક દિવસો,highly_relevant
rX4im_j0Px8,gu,surat Surat Waterlogging સુરતમાં કૃત્રિમ તળાવ થયા,not_relevant
xdjJ9Da7MlI,gu,Aapnu Surat સુરત ખાડી પૂર વિવાદ નાગરિકે પીઆઈએલની ચીમકી Surat Flood Issue Surat,highly_relevant
jMMpWpa1lSA,gu,Aapnu Surat ઉકાઈ ડેમમાં પાણીનું સ્તર ખતરા નજીક ગેટ ઓપરેશન શરૂ Ukai Dam Water,highly_relevant
