"Question","Answer"
"What is a cyclone?","A rotating storm system with low pressure center and strong winds."
"How do cyclones form?","Warm ocean water evaporates, rises, and rotates due to Coriolis effect."
"What temperature is needed for cyclone formation?","Sea surface temperature of at least 26.5°C (80°F)."
"What is the difference between cyclone, typhoon, and hurricane?","Same phenomenon in different regions: Pacific (typhoon), Atlantic (hurricane), Indian Ocean (cyclone)."
"What is the eye of a cyclone?","Calm center with clear skies and light winds."
"What is the eyewall?","Ring of thunderstorms around the eye with strongest winds."
"What are spiral rainbands?","Curved bands of clouds and precipitation extending from the center."
"How are cyclones classified?","By maximum sustained wind speeds using Saffir-Simpson or similar scales."
"What is a Category 5 hurricane?","Storm with winds exceeding 252 km/h (157 mph)."
"When is cyclone season in the Atlantic?","June 1 to November 30, peak in August-October."
"When is typhoon season in the Pacific?","Year-round, but most active May to October."
"What causes cyclones to move?","Steering winds in the upper atmosphere and pressure systems."
"How fast do cyclones typically move?","15-25 km/h (10-15 mph) but can vary greatly."
"What is storm surge?","Rise in sea level caused by cyclone winds pushing water toward shore."
"How high can storm surge reach?","Up to 9 meters (30 feet) in extreme cases."
"What is the most dangerous aspect of cyclones?","Storm surge and flooding cause most fatalities."
"How are cyclones tracked?","Satellites, aircraft reconnaissance, weather buoys, and radar."
"What is a hurricane hunter?","Specially equipped aircraft that fly into storms to gather data."
"How accurate are cyclone forecasts?","Track forecasts are 70% accurate 5 days out, intensity harder to predict."
"What is the cone of uncertainty?","Probable path area showing where storm center might go."
"What technology is used for tracking?","Doppler radar, satellites, buoys, dropsondes, and computer models."
"How often are forecasts updated?","Every 6 hours officially, more frequently during rapid changes."
"What is rapid intensification?","Wind speed increase of 55 km/h (35 mph) in 24 hours."
"What causes rapid intensification?","Very warm water, low wind shear, and favorable atmospheric conditions."
"What is wind shear?","Change in wind speed or direction with altitude that can weaken storms."
"When are cyclone watches issued?","48 hours before tropical storm conditions expected."
"When are cyclone warnings issued?","36 hours before tropical storm conditions expected."
"What is a tropical storm warning?","Winds of 63-118 km/h (39-73 mph) expected within 36 hours."
"What is a hurricane warning?","Winds of 119+ km/h (74+ mph) expected within 36 hours."
"What should you do when a watch is issued?","Complete preparations and be ready to evacuate if ordered."
"What should you do when a warning is issued?","Take immediate action, complete preparations, evacuate if ordered."
"How much advance warning do we typically get?","3-5 days for track, 1-2 days for specific intensity."
"What is storm surge warning?","Life-threatening inundation expected within 36 hours."
"Who issues cyclone warnings?","National meteorological services like NHC, JMA, or local weather offices."
"What information is in cyclone advisories?","Location, intensity, movement, warnings, watches, and hazards."
"How are evacuation zones determined?","Storm surge risk, elevation, distance from water, and escape routes."
"What is a mandatory evacuation?","Legal order to leave an area due to life-threatening conditions."
"Should you evacuate for wind or water?","Evacuate from water (storm surge/flooding), shelter from wind."
"What areas are most vulnerable to storm surge?","Low-lying coastal areas, barrier islands, and estuaries."
"How early should you evacuate?","Before tropical storm force winds arrive, when roads are still safe."
"What if you can't evacuate?","Move to highest floor, stay away from windows, have emergency supplies."
"What should be in your hurricane kit?","Water, food, flashlight, radio, batteries, first aid, medications."
"How much water should you store?","1 gallon per person per day for at least 3 days."
"How much food should you store?","3-day supply of non-perishable food per person."
"What medications should you prepare?","7-day supply of prescription and over-the-counter medications."
"Should you fill bathtubs with water?","Yes, for washing and sanitation if utilities fail."
"What documents should you protect?","Insurance papers, IDs, bank records in waterproof container."
"How should you protect your home?","Install shutters, secure loose objects, trim trees, check roof."
"Should you tape windows?","No, tape doesn't prevent breaking and creates dangerous shards."
"What should you do with outdoor furniture?","Bring inside or secure firmly to prevent becoming projectiles."
"How do you prepare your car?","Full gas tank, check tires, emergency kit, evacuation route mapped."
"Should you withdraw cash?","Yes, ATMs and credit card systems may be down after storm."
"How do you prepare pets?","Carriers, food, water, medications, vaccination records, ID tags."
"What if shelters don't accept pets?","Plan ahead with pet-friendly hotels or friends outside area."
"How do you protect important papers?","Waterproof container or cloud storage backup."
"Should you stay with friends inland?","Yes, if possible and safer than your location."
"What is shelter-in-place?","Staying in your home or building rather than evacuating."
"When is it safe to shelter in place?","Sturdy building away from storm surge and flood zones."
"What room is safest during a cyclone?","Interior room on lowest floor, away from windows."
"Should you open windows to equalize pressure?","No, this is a myth that increases wind damage risk."
"What should you do if power goes out?","Use flashlights, not candles; check on neighbors; conserve phone battery."
"Can you go outside during the eye of the cyclone?","No, winds return quickly from opposite direction with little warning."
"When is it safe to go outside during a cyclone?","Never until authorities give all-clear after storm completely passes."
